"customerkey","geographykey","customeralternatekey","birthdate","maritalstatus","gender","yearlyincome","totalchildren","englisheducation","englishoccupation","numbercarsowned","datefirstpurchase","commutedistance","fullname","customerage","city","stateprovincename","englishcountryregionname","postalcode"
23709,315,"AW00023709","1952-06-03","S","M","70000.00",5,"Bachelors","Management",3,"2022-11-28","10+ Miles","Devin Perry",72,"Downey","California","United States","90241"
24007,19,"AW00024007","1984-09-23","S","M","20000.00",0,"Bachelors","Clerical",0,"2021-09-15","0-1 Miles","Randy Huang",39,"Wollongong","New South Wales","Australia","2500"
24461,18,"AW00024461","1973-08-03","S","F","60000.00",1,"Bachelors","Professional",1,"2021-11-18","5-10 Miles","Ruth D Sai",50,"Sydney","New South Wales","Australia","1002"
24902,40,"AW00024902","1984-08-02","S","F","90000.00",0,"Bachelors","Professional",3,"2021-04-04","10+ Miles","Jill J Murphy",39,"Warrnambool","Victoria","Australia","3280"
25185,355,"AW00025185","1967-01-05","S","F","130000.00",1,"Bachelors","Management",3,"2022-05-14","2-5 Miles","Jade Reed",57,"Redwood City","California","United States","94063"
25242,11,"AW00025242","1969-04-17","S","F","90000.00",2,"Bachelors","Management",1,"2021-12-12","2-5 Miles","Susan Hu",55,"North Ryde","New South Wales","Australia","2113"
25530,170,"AW00025530","1967-11-01","S","M","10000.00",1,"Graduate Degree","Manual",0,"2022-08-15","0-1 Miles","Gerald M Lopez",56,"Münster","Saarland","Germany","48001"
25834,335,"AW00025834","1954-05-18","S","M","30000.00",4,"High School","Professional",2,"2022-09-22","1-2 Miles","Jeremy Davis",70,"Lemon Grove","California","United States","91945"
28155,345,"AW00028155","1974-02-21","S","F","70000.00",0,"Bachelors","Professional",1,"2020-03-23","2-5 Miles","Taylor Watson",50,"Newport Beach","California","United States","92625"
28879,272,"AW00028879","1963-05-31","S","M","170000.00",3,"Bachelors","Management",3,"2022-07-13","5-10 Miles","Edwin E Xie",61,"Warrington","England","United Kingdom","WA3 7BH"
29338,9,"AW00029338","1944-02-18","M","F","40000.00",2,"Bachelors","Management",2,"2022-07-24","5-10 Miles","Bridget Shan",80,"Milsons Point","New South Wales","Australia","2061"
11002,31,"AW00011002","1971-02-09","M","M","60000.00",3,"Bachelors","Professional",1,"2020-01-07","2-5 Miles","Ruben Torres",53,"Hobart","Tasmania","Australia","7001"
11003,11,"AW00011003","1973-08-14","S","F","70000.00",0,"Bachelors","Professional",1,"2019-12-29","5-10 Miles","Christy Zhu",50,"North Ryde","New South Wales","Australia","2113"
11004,19,"AW00011004","1979-08-05","S","F","80000.00",5,"Bachelors","Professional",4,"2020-01-23","1-2 Miles","Elizabeth Johnson",44,"Wollongong","New South Wales","Australia","2500"
11005,22,"AW00011005","1976-08-01","S","M","70000.00",0,"Bachelors","Professional",1,"2019-12-30","5-10 Miles","Julio Ruiz",47,"East Brisbane","Queensland","Australia","4169"
11006,8,"AW00011006","1976-12-02","S","F","70000.00",0,"Bachelors","Professional",1,"2020-01-24","5-10 Miles","Janet G Alvarez",47,"Matraville","New South Wales","Australia","2036"
11007,40,"AW00011007","1969-11-06","M","M","60000.00",3,"Bachelors","Professional",2,"2020-01-09","0-1 Miles","Marco Mehta",54,"Warrnambool","Victoria","Australia","3280"
11008,32,"AW00011008","1975-07-04","S","F","60000.00",4,"Bachelors","Professional",3,"2020-01-25","10+ Miles","Rob Verhoff",49,"Bendigo","Victoria","Australia","3550"
11009,25,"AW00011009","1969-09-29","S","M","70000.00",0,"Bachelors","Professional",1,"2020-01-27","5-10 Miles","Shannon C Carlson",54,"Hervey Bay","Queensland","Australia","4655"
11010,22,"AW00011010","1969-08-05","S","F","70000.00",0,"Bachelors","Professional",1,"2020-01-14","5-10 Miles","Jacquelyn C Suarez",54,"East Brisbane","Queensland","Australia","4169"
11011,22,"AW00011011","1969-05-03","M","M","60000.00",4,"Bachelors","Professional",4,"2019-12-30","10+ Miles","Curtis Lu",55,"East Brisbane","Queensland","Australia","4169"
11012,611,"AW00011012","1979-01-14","M","F","100000.00",2,"Bachelors","Management",2,"2022-03-16","1-2 Miles","Lauren M Walker",45,"Bremerton","Washington","United States","98312"
11013,543,"AW00011013","1979-08-03","M","M","100000.00",2,"Bachelors","Management",3,"2022-04-13","0-1 Miles","Ian M Jenkins",44,"Lebanon","Oregon","United States","97355"
11014,634,"AW00011014","1973-11-06","S","F","100000.00",3,"Bachelors","Management",3,"2022-03-23","1-2 Miles","Sydney Bennett",50,"Redmond","Washington","United States","98052"
11015,301,"AW00011015","1984-08-26","S","F","30000.00",0,"Partial College","Skilled Manual",1,"2022-01-18","5-10 Miles","Chloe Young",39,"Burbank","California","United States","91502"
11016,329,"AW00011016","1984-10-25","M","M","30000.00",0,"Partial College","Skilled Manual",1,"2022-02-09","5-10 Miles","Wyatt L Hill",39,"Imperial Beach","California","United States","91932"
11017,39,"AW00011017","1949-12-24","S","F","20000.00",4,"High School","Skilled Manual",2,"2020-01-12","5-10 Miles","Shannon Wang",74,"Sunbury","Victoria","Australia","3429"
11018,32,"AW00011018","1955-10-06","S","M","30000.00",2,"Partial College","Clerical",2,"2020-01-17","5-10 Miles","Clarence D Rai",68,"Bendigo","Victoria","Australia","3550"
11019,52,"AW00011019","1983-09-04","S","M","40000.00",0,"High School","Skilled Manual",2,"2022-02-12","5-10 Miles","Luke L Lal",40,"Langley","British Columbia","Canada","V3A 4R2"
11020,53,"AW00011020","1984-03-19","S","M","40000.00",0,"High School","Skilled Manual",2,"2021-12-29","1-2 Miles","Jordan C King",40,"Metchosin","British Columbia","Canada","V9"
11021,536,"AW00011021","1984-03-02","S","F","40000.00",0,"Partial College","Skilled Manual",1,"2022-01-23","1-2 Miles","Destiny Wilson",40,"Beaverton","Oregon","United States","97005"
11022,609,"AW00011022","1984-04-10","M","M","40000.00",0,"Partial College","Skilled Manual",1,"2022-01-20","5-10 Miles","Ethan G Zhang",40,"Bellingham","Washington","United States","98225"
11023,298,"AW00011023","1984-04-09","M","M","40000.00",0,"Partial College","Skilled Manual",1,"2022-02-17","1-2 Miles","Seth M Edwards",40,"Bellflower","California","United States","90706"
11024,311,"AW00011024","1984-03-16","M","M","60000.00",0,"Partial College","Skilled Manual",2,"2022-06-27","5-10 Miles","Russell Xie",40,"Concord","California","United States","94519"
11025,24,"AW00011025","1951-06-22","M","M","10000.00",2,"Partial High School","Clerical",2,"2020-01-06","1-2 Miles","Alejandro Beck",73,"Hawthorne","Queensland","Australia","4171"
11026,4,"AW00011026","1951-10-01","S","M","30000.00",2,"Partial College","Clerical",2,"2020-01-23","1-2 Miles","Harold Sai",72,"Goulburn","New South Wales","Australia","2580"
11027,40,"AW00011027","1952-06-05","M","M","30000.00",2,"Partial College","Clerical",2,"2020-01-16","5-10 Miles","Jessie R Zhao",72,"Warrnambool","Victoria","Australia","3280"
11028,17,"AW00011028","1951-10-09","M","F","30000.00",2,"Partial College","Clerical",2,"2020-01-26","1-2 Miles","Jill Jimenez",72,"St. Leonards","New South Wales","Australia","2065"
12070,300,"AW00012070","1950-03-03","M","M","70000.00",4,"Bachelors","Management",2,"2022-11-27","10+ Miles","Luke J Ross",74,"Beverly Hills","California","United States","90210"
11029,32,"AW00011029","1952-06-19","M","M","30000.00",2,"Partial College","Clerical",2,"2020-01-19","1-2 Miles","Jimmy L Moreno",72,"Bendigo","Victoria","Australia","3550"
11030,28,"AW00011030","1958-02-18","M","F","10000.00",2,"Partial High School","Clerical",2,"2020-02-05","1-2 Miles","Bethany G Yuan",66,"Cloverdale","South Australia","Australia","6105"
11031,8,"AW00011031","1953-02-18","M","F","20000.00",4,"High School","Skilled Manual",2,"2020-02-01","1-2 Miles","Theresa G Ramos",71,"Matraville","New South Wales","Australia","2036"
11032,35,"AW00011032","1952-12-08","M","F","20000.00",4,"High School","Skilled Manual",2,"2020-02-18","1-2 Miles","Denise Stone",71,"Melbourne","Victoria","Australia","3000"
11033,9,"AW00011033","1958-09-19","M","M","20000.00",4,"High School","Skilled Manual",2,"2020-02-15","5-10 Miles","Jaime Nath",65,"Milsons Point","New South Wales","Australia","2061"
11034,12,"AW00011034","1952-12-16","M","F","20000.00",4,"High School","Skilled Manual",2,"2020-02-01","5-10 Miles","Ebony Gonzalez",71,"North Sydney","New South Wales","Australia","2055"
11035,33,"AW00011035","1953-08-23","M","F","10000.00",2,"Partial High School","Clerical",2,"2020-02-06","1-2 Miles","Wendy Dominguez",70,"Cranbourne","Victoria","Australia","3977"
11036,343,"AW00011036","1984-06-16","M","F","60000.00",0,"Partial College","Skilled Manual",2,"2022-01-22","1-2 Miles","Jennifer C Russell",40,"National City","California","United States","91950"
11037,49,"AW00011037","1983-05-27","S","F","40000.00",0,"Partial High School","Clerical",2,"2022-01-20","5-10 Miles","Chloe M Garcia",41,"Cliffside","British Columbia","Canada","V8Y 1L1"
11038,6,"AW00011038","1953-09-20","M","F","10000.00",2,"Partial High School","Clerical",2,"2020-02-07","5-10 Miles","Diana F Hernandez",70,"Lavender Bay","New South Wales","Australia","2060"
11039,19,"AW00011039","1954-06-16","M","M","30000.00",3,"Partial College","Clerical",2,"2020-02-07","5-10 Miles","Marc J Martin",70,"Wollongong","New South Wales","Australia","2500"
11040,642,"AW00011040","1983-01-29","M","M","30000.00",0,"Partial College","Skilled Manual",2,"2022-04-03","1-2 Miles","Jesse Murphy",41,"Tacoma","Washington","United States","98403"
11041,325,"AW00011041","1983-04-15","M","F","60000.00",0,"Partial College","Skilled Manual",2,"2022-01-14","1-2 Miles","Amanda M Carter",41,"Glendale","California","United States","91203"
11042,338,"AW00011042","1982-12-11","M","F","70000.00",0,"Partial College","Skilled Manual",2,"2022-01-21","0-1 Miles","Megan J Sanchez",41,"Los Angeles","California","United States","90012"
11043,325,"AW00011043","1981-08-23","M","M","60000.00",0,"Partial College","Skilled Manual",2,"2022-05-08","5-10 Miles","Nathan M Simmons",42,"Glendale","California","United States","91203"
11044,25,"AW00011044","1954-11-21","M","M","20000.00",2,"Partial High School","Clerical",2,"2020-02-28","1-2 Miles","Adam L Flores",69,"Hervey Bay","Queensland","Australia","4655"
11045,8,"AW00011045","1955-11-16","S","M","30000.00",3,"High School","Skilled Manual",2,"2022-04-10","1-2 Miles","Leonard G Nara",68,"Matraville","New South Wales","Australia","2036"
11046,6,"AW00011046","1955-09-19","M","F","30000.00",3,"High School","Skilled Manual",2,"2020-02-06","5-10 Miles","Christine Yuan",68,"Lavender Bay","New South Wales","Australia","2060"
11047,34,"AW00011047","1955-08-27","M","F","30000.00",3,"High School","Skilled Manual",2,"2020-02-03","1-2 Miles","Jaclyn D Lu",68,"Geelong","Victoria","Australia","3220"
11048,39,"AW00011048","1956-05-21","M","M","30000.00",3,"High School","Skilled Manual",2,"2020-02-10","5-10 Miles","Jeremy Powell",68,"Sunbury","Victoria","Australia","3429"
11049,307,"AW00011049","1986-01-15","S","F","40000.00",0,"Partial High School","Clerical",2,"2022-03-09","5-10 Miles","Carol C Rai",38,"Chula Vista","California","United States","91910"
11050,31,"AW00011050","1957-03-06","M","M","30000.00",3,"High School","Skilled Manual",2,"2020-02-20","5-10 Miles","Alan Zheng",67,"Hobart","Tasmania","Australia","7001"
11051,21,"AW00011051","1957-01-31","S","M","30000.00",3,"High School","Skilled Manual",2,"2022-12-29","1-2 Miles","Daniel Johnson",67,"Caloundra","Queensland","Australia","4551"
11052,8,"AW00011052","1957-02-03","S","F","40000.00",2,"Partial College","Clerical",2,"2020-02-17","5-10 Miles","Heidi Lopez",67,"Matraville","New South Wales","Australia","2036"
11053,359,"AW00011053","1986-02-17","M","F","60000.00",0,"Partial College","Skilled Manual",2,"2022-01-17","1-2 Miles","Ana E Price",38,"San Diego","California","United States","92102"
11054,34,"AW00011054","1957-09-07","M","F","40000.00",2,"Partial College","Skilled Manual",2,"2020-02-03","5-10 Miles","Deanna Munoz",66,"Geelong","Victoria","Australia","3220"
11055,22,"AW00011055","1957-09-02","M","M","40000.00",2,"Partial College","Skilled Manual",2,"2020-01-31","5-10 Miles","Gilbert Raje",66,"East Brisbane","Queensland","Australia","4169"
11056,10,"AW00011056","1958-10-01","M","F","40000.00",3,"Partial College","Skilled Manual",2,"2020-02-26","5-10 Miles","Michele L Nath",65,"Newcastle","New South Wales","Australia","2300"
11057,5,"AW00011057","1970-04-07","M","M","70000.00",2,"Graduate Degree","Management",2,"2020-02-22","1-2 Miles","Carl J Andersen",54,"Lane Cove","New South Wales","Australia","1597"
11058,29,"AW00011058","1965-04-23","M","M","80000.00",2,"Partial College","Skilled Manual",2,"2020-03-09","1-2 Miles","Marc Diaz",59,"Findon","South Australia","Australia","5023"
11059,27,"AW00011059","1959-09-29","S","F","80000.00",2,"Partial College","Skilled Manual",2,"2022-02-18","5-10 Miles","Ashlee J Andersen",64,"Townsville","Queensland","Australia","4810"
11060,40,"AW00011060","1959-09-14","M","M","80000.00",2,"Partial College","Skilled Manual",2,"2020-03-19","5-10 Miles","Jon L Zhou",64,"Warrnambool","Victoria","Australia","3280"
11061,23,"AW00011061","1976-02-20","M","M","80000.00",2,"Partial College","Skilled Manual",2,"2020-03-13","5-10 Miles","Todd M Gao",48,"Gold Coast","Queensland","Australia","4217"
11062,547,"AW00011062","1981-03-01","M","M","40000.00",0,"High School","Skilled Manual",2,"2022-01-07","5-10 Miles","Noah D Powell",43,"Portland","Oregon","United States","97205"
11063,634,"AW00011063","1980-10-04","S","F","40000.00",0,"High School","Skilled Manual",2,"2022-01-12","5-10 Miles","Angela Murphy",43,"Redmond","Washington","United States","98052"
11064,315,"AW00011064","1981-06-05","M","M","40000.00",0,"High School","Skilled Manual",2,"2022-01-25","5-10 Miles","Chase Reed",43,"Downey","California","United States","90241"
11065,331,"AW00011065","1979-04-08","M","F","60000.00",0,"Partial College","Skilled Manual",2,"2022-02-10","1-2 Miles","Jessica Henderson",45,"La Jolla","California","United States","92806"
11066,543,"AW00011066","1979-05-27","M","F","70000.00",0,"Partial College","Professional",2,"2022-05-31","5-10 Miles","Grace T Butler",45,"Lebanon","Oregon","United States","97355"
11067,632,"AW00011067","1982-03-25","S","M","60000.00",0,"Partial College","Professional",2,"2022-08-18","5-10 Miles","Caleb F Carter",42,"Port Orchard","Washington","United States","98366"
11068,40,"AW00011068","1966-09-19","S","F","80000.00",2,"High School","Skilled Manual",2,"2022-04-30","5-10 Miles","Tiffany Liang",57,"Warrnambool","Victoria","Australia","3280"
11069,23,"AW00011069","1966-09-17","S","F","80000.00",2,"High School","Skilled Manual",2,"2020-04-17","1-2 Miles","Carolyn Navarro",57,"Gold Coast","Queensland","Australia","4217"
11070,39,"AW00011070","1960-10-02","M","M","80000.00",2,"High School","Skilled Manual",2,"2020-04-28","5-10 Miles","Willie T Raji",63,"Sunbury","Victoria","Australia","3429"
11071,24,"AW00011071","1960-12-23","S","F","80000.00",2,"High School","Skilled Manual",2,"2022-03-01","5-10 Miles","Linda Serrano",63,"Hawthorne","Queensland","Australia","4171"
11072,17,"AW00011072","1960-08-05","S","F","80000.00",2,"High School","Skilled Manual",2,"2020-03-31","1-2 Miles","Casey Luo",63,"St. Leonards","New South Wales","Australia","2065"
11073,16,"AW00011073","1962-02-11","S","F","70000.00",2,"High School","Skilled Manual",2,"2022-03-23","5-10 Miles","Amy Ye",62,"Springwood","New South Wales","Australia","2777"
11074,28,"AW00011074","1962-02-25","S","M","70000.00",2,"High School","Skilled Manual",2,"2022-03-23","5-10 Miles","Levi A Arun",62,"Cloverdale","South Australia","Australia","6105"
11075,32,"AW00011075","1963-05-16","S","F","80000.00",2,"High School","Professional",2,"2020-04-28","5-10 Miles","Felicia L Jimenez",61,"Bendigo","Victoria","Australia","3550"
11076,19,"AW00011076","1963-01-10","S","M","80000.00",2,"High School","Professional",2,"2020-04-21","5-10 Miles","Blake Anderson",61,"Wollongong","New South Wales","Australia","2500"
11077,36,"AW00011077","1963-03-19","S","F","80000.00",2,"High School","Professional",2,"2020-04-15","1-2 Miles","Leah Ye",61,"Melton","Victoria","Australia","3337"
11078,49,"AW00011078","1985-01-06","S","F","40000.00",0,"High School","Professional",2,"2022-02-15","1-2 Miles","Gina E Martin",39,"Cliffside","British Columbia","Canada","V8Y 1L1"
11079,34,"AW00011079","1970-03-07","S","M","160000.00",0,"Graduate Degree","Management",2,"2022-03-15","0-1 Miles","Donald Gonzalez",54,"Geelong","Victoria","Australia","3220"
11080,30,"AW00011080","1965-01-13","M","M","170000.00",0,"Graduate Degree","Management",2,"2020-04-10","0-1 Miles","Damien Chander",59,"Perth","South Australia","Australia","6006"
11081,311,"AW00011081","1972-01-21","M","F","120000.00",2,"Bachelors","Management",3,"2022-02-12","2-5 Miles","Savannah C Baker",52,"Concord","California","United States","94519"
11082,322,"AW00011082","1972-02-01","S","F","130000.00",0,"Graduate Degree","Management",3,"2022-01-22","1-2 Miles","Angela L Butler",52,"Fremont","California","United States","94536"
11083,336,"AW00011083","1977-03-11","M","F","130000.00",0,"Graduate Degree","Management",3,"2022-01-06","1-2 Miles","Alyssa F Cox",47,"Lincoln Acres","California","United States","91950"
11084,543,"AW00011084","1963-03-12","S","M","80000.00",2,"Partial High School","Skilled Manual",2,"2022-01-04","1-2 Miles","Lucas Phillips",61,"Lebanon","Oregon","United States","97355"
11085,345,"AW00011085","1963-01-16","S","F","60000.00",2,"High School","Professional",2,"2022-12-06","5-10 Miles","Emily Johnson",61,"Newport Beach","California","United States","92625"
11086,369,"AW00011086","1963-06-22","M","M","70000.00",2,"Partial College","Professional",0,"2022-07-02","0-1 Miles","Ryan Brown",61,"Santa Monica","California","United States","90401"
11087,307,"AW00011087","1963-04-02","M","F","70000.00",3,"Partial College","Professional",0,"2022-02-25","0-1 Miles","Tamara L Liang",61,"Chula Vista","California","United States","91910"
11088,359,"AW00011088","1963-05-25","M","M","80000.00",2,"Bachelors","Management",0,"2022-01-13","2-5 Miles","Hunter Davis",61,"San Diego","California","United States","92102"
11089,337,"AW00011089","1962-08-05","S","F","80000.00",2,"Bachelors","Management",1,"2021-12-29","2-5 Miles","Abigail M Price",61,"Long Beach","California","United States","90802"
11090,338,"AW00011090","1968-12-13","S","M","90000.00",2,"Partial College","Professional",1,"2020-08-07","2-5 Miles","Trevor Bryant",55,"Los Angeles","California","United States","90012"
11091,50,"AW00011091","1962-10-02","M","M","90000.00",2,"Partial College","Professional",1,"2022-01-29","5-10 Miles","Dalton Perez",61,"Haney","British Columbia","Canada","V2W 1W2"
11092,22,"AW00011092","1972-11-02","M","F","90000.00",2,"Bachelors","Professional",0,"2020-04-08","1-2 Miles","Cheryl A Diaz",51,"East Brisbane","Queensland","Australia","4169"
11093,19,"AW00011093","1978-09-06","M","F","100000.00",0,"Graduate Degree","Management",0,"2020-04-07","0-1 Miles","Aimee A He",45,"Wollongong","New South Wales","Australia","2500"
11094,33,"AW00011094","1967-09-29","S","M","70000.00",1,"Partial College","Skilled Manual",1,"2022-04-07","0-1 Miles","Cedric W Ma",56,"Cranbourne","Victoria","Australia","3977"
11095,13,"AW00011095","1968-02-29","S","M","70000.00",1,"Partial College","Skilled Manual",1,"2020-04-01","5-10 Miles","Chad Kumar",56,"Port Macquarie","New South Wales","Australia","2444"
11096,12,"AW00011096","1968-02-07","M","M","60000.00",1,"Bachelors","Professional",1,"2020-04-11","5-10 Miles","Andrés Anand",56,"North Sydney","New South Wales","Australia","2055"
11097,40,"AW00011097","1972-10-23","M","M","60000.00",1,"Partial College","Skilled Manual",1,"2020-04-04","5-10 Miles","Edwin R Nara",51,"Warrnambool","Victoria","Australia","3280"
11098,14,"AW00011098","1966-10-29","S","F","60000.00",1,"Partial College","Skilled Manual",1,"2022-02-11","0-1 Miles","Mallory S Rubio",57,"Rhodes","New South Wales","Australia","2138"
11099,13,"AW00011099","1966-09-05","M","M","60000.00",1,"Bachelors","Professional",1,"2020-04-07","0-1 Miles","Adam Ross",57,"Port Macquarie","New South Wales","Australia","2444"
11100,28,"AW00011100","1966-03-15","S","F","60000.00",1,"Partial College","Skilled Manual",1,"2020-04-16","5-10 Miles","Latasha L Navarro",58,"Cloverdale","South Australia","Australia","6105"
11101,33,"AW00011101","1970-11-05","S","F","70000.00",0,"Bachelors","Professional",1,"2020-04-29","0-1 Miles","Abby L Sai",53,"Cranbourne","Victoria","Australia","3977"
11102,18,"AW00011102","1970-10-19","S","F","80000.00",5,"Bachelors","Professional",4,"2022-07-16","1-2 Miles","Julia L Nelson",53,"Sydney","New South Wales","Australia","1002"
11103,3,"AW00011103","1981-04-12","S","F","70000.00",0,"Bachelors","Professional",1,"2020-04-15","5-10 Miles","Cassie Chande",43,"Darlinghurst","New South Wales","Australia","2010"
11104,23,"AW00011104","1975-03-08","M","M","70000.00",0,"Bachelors","Professional",1,"2020-05-04","0-1 Miles","Edgar A Sara",49,"Gold Coast","Queensland","Australia","4217"
11105,8,"AW00011105","1970-06-27","S","F","70000.00",0,"Bachelors","Professional",1,"2020-05-14","5-10 Miles","Candace Fernandez",54,"Matraville","New South Wales","Australia","2036"
11106,40,"AW00011106","1970-03-11","S","M","70000.00",0,"Bachelors","Professional",1,"2020-05-18","5-10 Miles","Jessie Liu",54,"Warrnambool","Victoria","Australia","3280"
11107,17,"AW00011107","1976-03-04","M","F","90000.00",1,"Bachelors","Professional",1,"2020-05-01","5-10 Miles","Bianca Lin",48,"St. Leonards","New South Wales","Australia","2065"
11108,13,"AW00011108","1969-01-10","S","F","70000.00",0,"Bachelors","Professional",2,"2020-05-03","0-1 Miles","Kari C Alvarez",55,"Port Macquarie","New South Wales","Australia","2444"
11109,38,"AW00011109","1980-04-30","S","M","70000.00",0,"Bachelors","Professional",2,"2020-05-10","0-1 Miles","Ruben D Kapoor",44,"South Melbourne","Victoria","Australia","3205"
11110,3,"AW00011110","1967-12-04","M","M","60000.00",1,"Partial College","Skilled Manual",1,"2020-05-01","5-10 Miles","Curtis Yang",56,"Darlinghurst","New South Wales","Australia","2010"
11111,34,"AW00011111","1967-08-23","M","F","60000.00",1,"Partial College","Skilled Manual",1,"2020-05-20","0-1 Miles","Meredith T Gutierrez",56,"Geelong","Victoria","Australia","3220"
11112,25,"AW00011112","1968-03-08","M","F","60000.00",1,"Partial College","Skilled Manual",1,"2020-05-25","0-1 Miles","Crystal C Wang",56,"Hervey Bay","Queensland","Australia","4655"
11113,30,"AW00011113","1973-02-17","M","M","70000.00",5,"Bachelors","Professional",2,"2022-02-01","5-10 Miles","Micheal A Blanco",51,"Perth","South Australia","Australia","6006"
11114,14,"AW00011114","1967-11-25","S","F","70000.00",5,"Partial College","Skilled Manual",2,"2022-03-18","5-10 Miles","Leslie C Moreno",56,"Rhodes","New South Wales","Australia","2138"
11115,17,"AW00011115","1967-08-12","M","M","70000.00",5,"Partial College","Skilled Manual",2,"2022-02-10","0-1 Miles","Alvin D Cai",56,"St. Leonards","New South Wales","Australia","2065"
11116,18,"AW00011116","1979-04-02","M","M","70000.00",5,"Partial College","Skilled Manual",2,"2022-03-15","5-10 Miles","Clinton E Carlson",45,"Sydney","New South Wales","Australia","1002"
11117,8,"AW00011117","1966-08-21","M","F","70000.00",5,"Partial College","Skilled Manual",3,"2020-05-06","10+ Miles","April Deng",57,"Matraville","New South Wales","Australia","2036"
11118,6,"AW00011118","1962-12-31","S","M","80000.00",1,"Partial College","Skilled Manual",1,"2022-07-10","0-1 Miles","Alvin M Zeng",61,"Lavender Bay","New South Wales","Australia","2060"
11119,13,"AW00011119","1940-10-07","S","M","30000.00",2,"Partial College","Clerical",2,"2022-02-03","0-1 Miles","Evan V James",83,"Port Macquarie","New South Wales","Australia","2444"
11120,18,"AW00011120","1942-02-06","S","F","40000.00",2,"Bachelors","Management",1,"2020-05-14","5-10 Miles","Beth H Jiménez",82,"Sydney","New South Wales","Australia","1002"
11121,10,"AW00011121","1966-05-18","M","M","70000.00",5,"Partial College","Skilled Manual",3,"2022-06-24","10+ Miles","Orlando Suarez",58,"Newcastle","New South Wales","Australia","2300"
11122,12,"AW00011122","1965-09-30","M","M","70000.00",5,"Partial College","Skilled Manual",3,"2022-02-21","5-10 Miles","Byron Vazquez",58,"North Sydney","New South Wales","Australia","2055"
11123,39,"AW00011123","1965-12-18","M","M","70000.00",5,"Partial College","Skilled Manual",3,"2022-04-17","10+ Miles","Philip A Alvarez",58,"Sunbury","Victoria","Australia","3429"
